epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,848.698,1.47825,2.83728,1.43153,0.6452,0.44629,0.51551,0.35797,1.21924,1.6556,1.36298,0.000158221,0.000158221,0.000158221
2,1777.9,1.30899,1.5594,1.30369,0.63853,0.54782,0.57131,0.38398,1.22032,1.433,1.32521,0.000304339,0.000304339,0.000304339
3,3074.03,1.28395,1.37635,1.28842,0.61662,0.54537,0.56561,0.36806,1.19318,1.45279,1.28961,0.00043789,0.00043789,0.00043789
4,4086.9,1.26403,1.28844,1.28081,0.69254,0.62949,0.67259,0.43598,1.11844,1.12227,1.24823,0.000419451,0.000419451,0.000419451
5,5054.61,1.2119,1.15478,1.24083,0.61905,0.66267,0.67494,0.47287,1.1235,1.06642,1.2386,0.000400602,0.000400602,0.000400602
6,6039.29,1.16763,1.06715,1.21401,0.78256,0.64306,0.71853,0.49832,1.05289,0.91662,1.19579,0.000381752,0.000381752,0.000381752
7,7079.26,1.14571,1.00087,1.18892,0.71501,0.69969,0.71375,0.47645,1.0997,0.87095,1.19621,0.000362902,0.000362902,0.000362902
8,8094.84,1.12365,0.97477,1.18377,0.81968,0.68157,0.73005,0.51611,1.00738,0.8464,1.13662,0.000344053,0.000344053,0.000344053
9,9101.33,1.0978,0.91777,1.16664,0.75626,0.70967,0.75244,0.52267,0.99436,0.81556,1.12787,0.000325203,0.000325203,0.000325203
10,10093.6,1.06898,0.87124,1.15326,0.73987,0.72629,0.74578,0.50956,1.00958,0.77363,1.13864,0.000306354,0.000306354,0.000306354
11,11124.1,1.05062,0.84727,1.14457,0.83245,0.71234,0.77572,0.53779,1.01394,0.75538,1.14289,0.000287504,0.000287504,0.000287504
12,12158.3,1.03424,0.81805,1.12774,0.76598,0.70167,0.76801,0.5406,0.99177,0.74798,1.1228,0.000268654,0.000268654,0.000268654
13,13204.7,1.008,0.77202,1.11166,0.88375,0.71025,0.77872,0.53562,0.96598,0.72402,1.1226,0.000249805,0.000249805,0.000249805
14,14308.3,0.97767,0.7327,1.08831,0.82393,0.76689,0.80346,0.57494,0.95424,0.67454,1.10199,0.000230955,0.000230955,0.000230955
15,15328.3,0.9578,0.70531,1.08445,0.84395,0.79133,0.80618,0.57597,0.92494,0.63124,1.0893,0.000212106,0.000212106,0.000212106
16,16318.3,0.91104,0.59738,1.04262,0.81791,0.74376,0.79232,0.55279,0.93996,0.68999,1.08173,0.000193256,0.000193256,0.000193256
17,17392.2,0.88729,0.56465,1.0278,0.79606,0.77404,0.79719,0.56214,0.9332,0.67688,1.10043,0.000174406,0.000174406,0.000174406
18,18365.5,0.86464,0.5435,1.02145,0.7829,0.7579,0.79255,0.5631,0.95089,0.67223,1.10122,0.000155557,0.000155557,0.000155557
19,19253.9,0.84827,0.52305,1.00904,0.87662,0.7373,0.80612,0.59001,0.92793,0.63842,1.096,0.000136707,0.000136707,0.000136707
20,20164.4,0.82505,0.50229,0.99602,0.78043,0.76989,0.7996,0.58471,0.88523,0.65099,1.06578,0.000117858,0.000117858,0.000117858
21,21052.3,0.80717,0.48053,0.98361,0.82208,0.77457,0.82311,0.57723,0.89314,0.62221,1.05343,9.9008e-05,9.9008e-05,9.9008e-05
22,21951.5,0.7843,0.46436,0.97127,0.83882,0.77162,0.81279,0.59145,0.88753,0.63516,1.05915,8.01584e-05,8.01584e-05,8.01584e-05
23,22834.6,0.76459,0.4515,0.96653,0.84106,0.77163,0.81127,0.58529,0.87376,0.63943,1.05746,6.13088e-05,6.13088e-05,6.13088e-05
24,23701.6,0.74996,0.4364,0.95762,0.83194,0.77665,0.80994,0.58448,0.87479,0.63393,1.05596,4.24592e-05,4.24592e-05,4.24592e-05
25,24571.3,0.73164,0.42447,0.95335,0.86463,0.76452,0.80838,0.59123,0.86605,0.6368,1.05504,2.36096e-05,2.36096e-05,2.36096e-05
