epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,203.37,1.42247,2.39909,1.39695,0.70146,0.3336,0.34702,0.21211,1.22149,1.39209,1.21686,0.000175155,0.000175155,0.000175155
2,463.184,1.39243,1.7464,1.39285,0.68358,0.36094,0.39128,0.24154,1.28249,1.41873,1.28637,0.000343549,0.000343549,0.000343549
3,737.12,1.39017,1.57139,1.39144,0.66712,0.42638,0.46481,0.27993,1.33169,1.24005,1.29518,0.000504999,0.000504999,0.000504999
4,1014.59,1.37124,1.42754,1.38109,0.62688,0.45953,0.49878,0.30847,1.24774,1.11411,1.26429,0.000494756,0.000494756,0.000494756
5,1260.57,1.3439,1.32527,1.35711,0.68741,0.45798,0.50773,0.31862,1.22141,1.08823,1.25249,0.000484341,0.000484341,0.000484341
6,1539.32,1.29893,1.24275,1.33674,0.60556,0.49402,0.52626,0.34415,1.19861,1.05063,1.23178,0.000473926,0.000473926,0.000473926
7,1768.96,1.27134,1.198,1.32464,0.71146,0.50112,0.55777,0.36466,1.13627,0.99341,1.21699,0.000463511,0.000463511,0.000463511
8,1948.46,1.24965,1.14706,1.30354,0.66448,0.54946,0.57129,0.37885,1.16229,0.93262,1.21843,0.000453096,0.000453096,0.000453096
9,2238.24,1.24094,1.11532,1.29429,0.67645,0.52211,0.56928,0.37492,1.11031,0.92965,1.17967,0.000442682,0.000442682,0.000442682
10,2523.72,1.22228,1.10136,1.28953,0.87173,0.49722,0.58343,0.39794,1.06131,0.90989,1.15897,0.000432267,0.000432267,0.000432267
11,2807.39,1.20825,1.06369,1.27845,0.71393,0.51807,0.59401,0.39651,1.0999,0.87929,1.18237,0.000421852,0.000421852,0.000421852
12,3090.09,1.17752,1.01809,1.26712,0.71257,0.53446,0.6093,0.40685,1.083,0.85454,1.16699,0.000411437,0.000411437,0.000411437
13,3376.88,1.17272,1.00351,1.26159,0.78864,0.53256,0.59899,0.41027,1.08559,0.86559,1.16536,0.000401022,0.000401022,0.000401022
14,3656.24,1.15249,0.97824,1.24986,0.68892,0.56373,0.60075,0.40216,1.05484,0.84643,1.15236,0.000390608,0.000390608,0.000390608
15,3939.46,1.14973,0.96207,1.24021,0.74881,0.54046,0.60634,0.41063,1.07539,0.84808,1.16698,0.000380193,0.000380193,0.000380193
16,4219.14,1.137,0.94704,1.23589,0.732,0.58425,0.61737,0.42207,1.04538,0.81596,1.15046,0.000369778,0.000369778,0.000369778
17,4502.66,1.12796,0.92834,1.23316,0.6734,0.60063,0.6173,0.41315,1.05292,0.81152,1.13815,0.000359363,0.000359363,0.000359363
18,4770.31,1.12189,0.90904,1.22387,0.71964,0.59499,0.62691,0.42455,1.0213,0.81741,1.1293,0.000348948,0.000348948,0.000348948
19,5058.77,1.10654,0.9006,1.21769,0.68377,0.63115,0.63834,0.42928,1.05168,0.82288,1.14041,0.000338534,0.000338534,0.000338534
20,5344.6,1.10293,0.89384,1.20681,0.7409,0.58347,0.6175,0.43024,1.01494,0.78568,1.1204,0.000328119,0.000328119,0.000328119
21,5555.4,1.08133,0.86219,1.19604,0.73902,0.61427,0.63785,0.43489,1.02504,0.77348,1.11933,0.000317704,0.000317704,0.000317704
22,5723.68,1.07569,0.85694,1.19684,0.77811,0.60662,0.63575,0.43844,0.99194,0.74243,1.1097,0.000307289,0.000307289,0.000307289
23,5892.18,1.06051,0.83759,1.18627,0.61875,0.63958,0.64271,0.43956,1.00926,0.7616,1.12312,0.000296874,0.000296874,0.000296874
24,6060.3,1.06615,0.84002,1.18676,0.68975,0.6155,0.62128,0.43399,1.0147,0.76809,1.13395,0.00028646,0.00028646,0.00028646
25,6229.05,1.04633,0.8198,1.17575,0.77269,0.58666,0.64417,0.44204,1.01473,0.75664,1.12351,0.000276045,0.000276045,0.000276045
26,6396.98,1.03751,0.81147,1.17209,0.63737,0.61779,0.64665,0.45105,1.00196,0.74211,1.11593,0.00026563,0.00026563,0.00026563
27,6563.88,1.03105,0.79865,1.17131,0.64393,0.59878,0.63463,0.44757,0.99895,0.74752,1.10923,0.000255215,0.000255215,0.000255215
28,6731.35,1.02177,0.78374,1.1631,0.65632,0.62757,0.65738,0.458,0.99482,0.73174,1.10357,0.0002448,0.0002448,0.0002448
29,6898.33,1.01266,0.77624,1.1526,0.68537,0.62925,0.65555,0.45381,0.99428,0.72533,1.10849,0.000234386,0.000234386,0.000234386
30,7126.31,1.00261,0.76433,1.15076,0.66772,0.62801,0.64404,0.44989,0.9815,0.72821,1.09796,0.000223971,0.000223971,0.000223971
31,7411.63,0.99693,0.75294,1.14352,0.72435,0.6302,0.66654,0.45924,0.98044,0.72676,1.09892,0.000213556,0.000213556,0.000213556
32,7700.12,0.9962,0.75577,1.14725,0.67555,0.63644,0.66636,0.46408,0.97693,0.70913,1.09886,0.000203141,0.000203141,0.000203141
33,7977.94,0.97081,0.73838,1.13524,0.72269,0.64016,0.67082,0.4751,0.9804,0.69326,1.10197,0.000192726,0.000192726,0.000192726
34,8251.13,0.98386,0.73829,1.13758,0.69105,0.61905,0.6658,0.46955,0.96526,0.70513,1.09586,0.000182312,0.000182312,0.000182312
35,8506.15,0.97268,0.72787,1.13885,0.70941,0.61108,0.66396,0.47052,0.97903,0.70625,1.09904,0.000171897,0.000171897,0.000171897
36,8793.47,0.95858,0.7136,1.12341,0.68313,0.65053,0.66524,0.47113,0.95984,0.70695,1.0887,0.000161482,0.000161482,0.000161482
37,9077.94,0.94728,0.70897,1.11998,0.71017,0.61615,0.66647,0.47114,0.97422,0.70202,1.10465,0.000151067,0.000151067,0.000151067
38,9363.46,0.94723,0.6995,1.1196,0.70726,0.63066,0.67141,0.473,0.96699,0.68956,1.09298,0.000140652,0.000140652,0.000140652
39,9645.95,0.93391,0.69556,1.11578,0.71485,0.62518,0.66765,0.4733,0.96605,0.69213,1.08816,0.000130238,0.000130238,0.000130238
40,9912.73,0.927,0.67545,1.11396,0.70446,0.64783,0.67302,0.47583,0.96492,0.69072,1.09028,0.000119823,0.000119823,0.000119823
41,10119.9,0.86314,0.55635,1.05483,0.73211,0.62367,0.67999,0.47739,0.96738,0.68153,1.09922,0.000109408,0.000109408,0.000109408
42,10273.6,0.84403,0.53576,1.04774,0.70591,0.64636,0.6751,0.48223,0.96063,0.6803,1.09859,9.89932e-05,9.89932e-05,9.89932e-05
43,10525,0.83088,0.52486,1.03989,0.7298,0.653,0.68046,0.47912,0.96339,0.68238,1.09402,8.85784e-05,8.85784e-05,8.85784e-05
44,10793.2,0.81827,0.51625,1.03056,0.73049,0.66237,0.68666,0.48812,0.96442,0.68079,1.09062,7.81636e-05,7.81636e-05,7.81636e-05
45,11058.2,0.8149,0.50527,1.02639,0.6945,0.64808,0.67974,0.4861,0.96147,0.67439,1.09394,6.77488e-05,6.77488e-05,6.77488e-05
46,11252.6,0.80136,0.50351,1.02301,0.72428,0.63694,0.67981,0.48367,0.95614,0.67945,1.09564,5.7334e-05,5.7334e-05,5.7334e-05
47,11505,0.79026,0.4917,1.01515,0.68566,0.65727,0.6864,0.49019,0.9525,0.66982,1.09335,4.69192e-05,4.69192e-05,4.69192e-05
48,11769.3,0.79014,0.48961,1.01697,0.70234,0.6515,0.68425,0.48829,0.95675,0.66764,1.09562,3.65044e-05,3.65044e-05,3.65044e-05
49,12036.8,0.77816,0.48356,1.01078,0.74376,0.64271,0.68525,0.48825,0.95306,0.66382,1.09254,2.60896e-05,2.60896e-05,2.60896e-05
50,12188.3,0.77336,0.47746,1.00531,0.74427,0.65821,0.68833,0.49037,0.95488,0.66471,1.09103,1.56748e-05,1.56748e-05,1.56748e-05
