epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,316.958,1.41639,2.73555,1.40418,0.48609,0.35218,0.34935,0.20767,1.33988,1.6812,1.32757,0.00999087,0.00333029,0.00999087,0.00333029,0.00999087,0.00333029,0.00999087,0.00333029
2,622.528,1.45779,2.1264,1.45498,0.48256,0.37234,0.36496,0.20485,1.4359,1.6419,1.44738,0.019793,0.00659765,0.019793,0.00659765,0.019793,0.00659765,0.019793,0.00659765
3,890.105,1.55802,2.13589,1.54827,0.59903,0.33942,0.33642,0.18773,1.59479,1.94384,1.56751,0.029397,0.00979902,0.029397,0.00979902,0.029397,0.00979902,0.029397,0.00979902
4,1162.23,1.58907,2.05008,1.59405,0.43601,0.38351,0.36648,0.20035,1.53953,1.78791,1.54683,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1482.7,1.54744,1.83524,1.55205,0.51002,0.42949,0.45016,0.24516,1.49049,1.63935,1.5071,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1805.47,1.48927,1.67589,1.51951,0.56213,0.4639,0.48388,0.28945,1.42707,1.43634,1.46548,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2153.16,1.44774,1.55268,1.48476,0.65968,0.48142,0.51285,0.31217,1.3445,1.34823,1.40531,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2501.78,1.41657,1.48738,1.45906,0.59889,0.47207,0.52409,0.31867,1.33551,1.30517,1.38674,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2854.54,1.37624,1.40153,1.43636,0.55023,0.51439,0.51786,0.33192,1.27375,1.28365,1.35243,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3185.26,1.3634,1.37706,1.42965,0.68768,0.55097,0.58957,0.38125,1.2576,1.14263,1.33213,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3525.91,1.33712,1.31185,1.40192,0.66824,0.51164,0.57257,0.36586,1.26986,1.25573,1.34784,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3847.66,1.31552,1.26734,1.3798,0.64235,0.57089,0.58143,0.37917,1.24434,1.1731,1.32602,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4168.77,1.29368,1.24149,1.37221,0.64928,0.52214,0.58316,0.37343,1.21424,1.13644,1.29376,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4479.71,1.28663,1.21897,1.35974,0.59638,0.57679,0.60479,0.39739,1.21719,1.10434,1.29652,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4798.45,1.28359,1.20328,1.36556,0.67609,0.61882,0.64285,0.42372,1.20289,1.04833,1.29741,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,4990.46,1.24809,1.16674,1.34168,0.69611,0.60046,0.63328,0.41996,1.15265,1.03919,1.25847,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,5260.31,1.23645,1.13122,1.32942,0.71924,0.57269,0.6401,0.42417,1.15488,1.02511,1.25344,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5583.46,1.22925,1.12072,1.32323,0.70563,0.59497,0.6438,0.42578,1.16372,1.04097,1.26068,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,5895.2,1.21733,1.09796,1.31281,0.66281,0.60244,0.64573,0.43268,1.15149,1.02041,1.26074,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,6124.29,1.20358,1.07954,1.30011,0.7192,0.61358,0.66468,0.44268,1.12169,0.97273,1.22967,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,6392.01,1.19407,1.06106,1.2945,0.71988,0.60079,0.65755,0.44005,1.11859,0.97332,1.2262,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,6710.14,1.18197,1.03843,1.29101,0.72325,0.61588,0.65105,0.43705,1.11963,0.97053,1.23618,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,7027.82,1.17004,1.03046,1.28139,0.67946,0.64032,0.66406,0.44706,1.10511,0.96427,1.22602,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,7333.48,1.15738,1.01329,1.27449,0.68495,0.6619,0.67314,0.45336,1.10273,0.93569,1.21708,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,7636.76,1.14962,1.00118,1.26827,0.7,0.63443,0.67105,0.45377,1.1022,0.93649,1.21503,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,7839.37,1.15084,0.99056,1.26889,0.72938,0.6487,0.68515,0.46104,1.11245,0.9192,1.21701,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,8020.47,1.13707,0.97629,1.2589,0.75857,0.62498,0.68113,0.4688,1.08031,0.93293,1.20488,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,8207.29,1.13567,0.97388,1.25108,0.76847,0.62923,0.688,0.46952,1.09941,0.90189,1.22023,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
